HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Schalke 04,H,102,62,49,21,64,77,11,14,0,0,4,0,2,2,0,4,1.1,11.0,21.0
Ein Frankfurt,Bielefeld,D,76,63,39,25,88,95,20,13,1,0,1,1,5,1,0,5,1.61,4.2,5.25
FC Koln,Hoffenheim,A,62,90,22,37,95,100,9,17,0,3,0,2,2,2,5,3,2.6,3.5,2.6
Stuttgart,Freiburg,A,86,50,33,14,71,73,12,12,0,0,0,2,4,2,2,2,2.25,3.5,3.1
Union Berlin,Augsburg,A,97,56,37,13,86,66,10,10,0,1,3,2,3,2,1,2,2.3,3.3,3.2
Werder Bremen,Hertha,A,68,69,17,20,75,119,15,10,0,1,1,2,2,2,3,3,2.6,3.5,2.62
Dortmund,M'gladbach,H,83,80,29,32,60,78,7,15,0,0,3,2,0,2,3,2,1.6,4.33,5.0
RB Leipzig,Mainz,H,132,63,40,19,83,73,11,11,0,0,6,1,1,1,0,4,1.33,5.75,8.0
Wolfsburg,Leverkusen,D,95,96,35,48,84,79,13,12,0,0,5,5,2,2,0,0,2.87,3.5,2.37
Hertha,Ein Frankfurt,A,74,84,36,31,79,100,13,19,0,0,1,2,2,3,3,2,2.25,3.75,2.9
Augsburg,Dortmund,H,69,114,22,47,81,75,18,11,1,0,2,4,2,1,3,2,7.0,4.75,1.44
Bielefeld,FC Koln,H,47,54,13,22,66,77,9,16,0,1,2,2,0,3,4,1,2.62,3.5,2.6
Leverkusen,RB Leipzig,D,76,59,30,26,86,74,12,11,0,0,3,2,2,3,1,1,3.0,3.5,2.3
Mainz,Stuttgart,A,79,99,34,33,105,94,17,20,1,1,0,4,2,2,5,1,2.37,3.5,2.9
M'gladbach,Union Berlin,D,98,66,37,27,75,79,12,13,1,1,2,2,4,3,1,1,1.44,4.5,7.5
Schalke 04,Werder Bremen,A,81,74,27,29,99,87,22,17,1,1,0,2,2,3,5,2,2.5,3.4,2.8
Hoffenheim,Bayern Munich,H,65,96,22,36,93,64,10,9,1,1,2,5,1,1,3,1,11.0,7.5,1.2
Freiburg,Wolfsburg,D,122,85,43,30,73,79,9,9,0,0,2,1,3,4,2,1,3.2,3.3,2.3
Union Berlin,Mainz,H,97,63,37,19,86,73,10,11,0,0,3,1,3,1,1,4,2.05,3.6,3.4
Dortmund,Freiburg,H,83,50,29,14,60,73,7,12,0,0,3,2,0,2,3,2,1.28,6.0,9.0
Ein Frankfurt,Hoffenheim,H,76,90,39,37,88,100,20,17,1,3,1,2,5,2,0,3,2.37,3.7,2.8
FC Koln,M'gladbach,A,62,80,22,32,95,78,9,15,0,0,0,2,2,2,5,2,3.8,4.0,1.85
Stuttgart,Leverkusen,D,86,96,33,48,71,79,12,12,0,0,0,5,4,2,2,0,3.8,3.8,1.85
Werder Bremen,Bielefeld,H,68,63,17,25,75,95,15,13,0,0,1,1,2,1,3,5,2.15,3.5,3.3
RB Leipzig,Schalke 04,H,132,62,40,21,83,77,11,14,0,0,6,0,1,2,0,4,1.25,6.5,10.0
Wolfsburg,Augsburg,D,95,56,35,13,84,66,13,10,0,1,5,2,2,2,0,2,2.0,3.6,3.7
Bayern Munich,Hertha,H,102,69,49,20,64,119,11,10,0,1,4,2,2,2,0,3,1.16,8.0,15.0
Augsburg,RB Leipzig,A,69,59,22,26,81,74,18,11,1,0,2,2,2,3,3,1,5.75,4.5,1.53
Freiburg,Werder Bremen,D,122,74,43,29,73,87,9,17,0,1,2,2,3,3,2,2,2.25,3.5,3.1
Hertha,Stuttgart,A,74,99,36,33,79,94,13,20,0,1,1,4,2,2,3,1,2.05,3.8,3.3
Hoffenheim,Dortmund,A,65,114,22,47,93,75,10,11,1,0,2,4,1,1,3,2,4.0,4.33,1.75
Mainz,Leverkusen,A,79,96,34,48,105,79,17,12,1,0,0,5,2,2,5,0,5.5,4.33,1.57
Bielefeld,Bayern Munich,A,47,96,13,36,66,64,9,9,0,1,2,5,0,1,4,1,13.0,8.5,1.16
M'gladbach,Wolfsburg,D,98,85,37,30,75,79,12,9,1,0,2,1,4,4,1,1,1.85,3.8,4.0
FC Koln,Ein Frankfurt,D,62,84,22,31,95,100,9,19,0,0,0,2,2,3,5,2,3.2,3.8,2.1
Schalke 04,Union Berlin,D,81,66,27,27,99,79,22,13,1,1,0,2,2,3,5,1,2.75,3.25,2.6
Stuttgart,FC Koln,D,86,54,33,22,71,77,12,16,0,1,0,2,4,3,2,1,1.85,3.8,3.8
Bayern Munich,Ein Frankfurt,H,102,84,49,31,64,100,11,19,0,0,4,2,2,3,0,2,1.16,7.5,9.0
Mainz,M'gladbach,A,79,80,34,32,105,78,17,15,1,0,0,2,2,2,5,2,4.75,4.33,1.61
RB Leipzig,Hertha,H,132,69,40,20,83,119,11,10,0,1,6,2,1,2,0,3,1.4,4.5,7.0
Union Berlin,Freiburg,D,97,50,37,14,86,73,10,12,0,0,3,2,3,2,1,2,2.3,3.3,3.1
Dortmund,Schalke 04,H,83,62,29,21,60,77,7,14,0,0,3,0,0,2,3,4,1.16,6.5,12.0
Wolfsburg,Bielefeld,H,95,63,35,25,84,95,13,13,0,0,5,1,2,1,0,5,1.65,3.75,5.25
Werder Bremen,Hoffenheim,D,68,90,17,37,75,100,15,17,0,3,1,2,2,2,3,3,3.0,3.75,2.2
Leverkusen,Augsburg,H,76,56,30,13,86,66,12,10,0,1,3,2,2,2,1,2,1.6,4.2,5.25
Schalke 04,Stuttgart,D,81,99,27,33,99,94,22,20,1,1,0,4,2,2,5,1,3.1,3.6,2.15
Augsburg,Mainz,H,69,63,22,19,81,73,18,11,1,0,2,1,2,1,3,4,2.0,3.75,3.5
Bielefeld,Dortmund,A,47,114,13,47,66,75,9,11,0,0,2,4,0,1,4,2,7.5,5.0,1.4
Ein Frankfurt,Werder Bremen,D,76,74,39,29,88,87,20,17,1,1,1,2,5,3,0,2,1.72,4.0,4.5
FC Koln,Bayern Munich,A,62,96,22,36,95,64,9,9,0,1,0,5,2,1,5,1,12.0,8.0,1.18
M'gladbach,RB Leipzig,H,98,59,37,26,75,74,12,11,1,0,2,2,4,3,1,1,3.0,3.6,2.25
Freiburg,Leverkusen,A,122,96,43,48,73,79,9,12,0,0,2,5,3,2,2,0,3.8,3.5,1.95
Hertha,Wolfsburg,D,74,85,36,30,79,79,13,9,0,0,1,1,2,4,3,1,2.62,3.5,2.55
Hoffenheim,Union Berlin,A,65,66,22,27,93,79,10,13,1,1,2,2,1,3,3,1,1.85,4.0,3.8
Werder Bremen,FC Koln,D,68,54,17,22,75,77,15,16,0,1,1,2,2,3,3,1,2.37,3.6,2.87
Augsburg,Hertha,A,69,69,22,20,81,119,18,10,1,1,2,2,2,2,3,3,2.9,3.5,2.3
Mainz,Schalke 04,D,79,62,34,21,105,77,17,14,1,0,0,0,2,2,5,4,2.1,3.4,3.4
RB Leipzig,Freiburg,H,132,50,40,14,83,73,11,12,0,0,6,2,1,2,0,2,1.36,4.75,9.0
Stuttgart,Ein Frankfurt,D,86,84,33,31,71,100,12,19,0,0,0,2,4,3,2,2,2.55,3.6,2.5
Union Berlin,Bielefeld,H,97,63,37,25,86,95,10,13,0,0,3,1,3,1,1,5,1.83,3.75,4.2
Dortmund,Bayern Munich,A,83,96,29,36,60,64,7,9,0,1,3,5,0,1,3,1,4.0,4.33,1.75
Wolfsburg,Hoffenheim,H,95,90,35,37,84,100,13,17,0,3,5,2,2,2,0,3,2.1,3.6,3.25
Leverkusen,M'gladbach,H,76,80,30,32,86,78,12,15,0,0,3,2,2,2,1,2,2.2,3.5,3.0
Bayern Munich,Werder Bremen,D,102,74,49,29,64,87,11,17,0,1,4,2,2,3,0,2,1.1,10.0,23.0
Bielefeld,Leverkusen,A,47,96,13,48,66,79,9,12,0,0,2,5,0,2,4,0,5.75,4.6,1.5
Hoffenheim,Stuttgart,D,65,99,22,33,93,94,10,20,1,1,2,4,1,2,3,1,2.3,3.75,2.8
M'gladbach,Augsburg,D,98,56,37,13,75,66,12,10,1,1,2,2,4,2,1,2,1.5,4.5,6.0
Schalke 04,Wolfsburg,A,81,85,27,30,99,79,22,9,1,0,0,1,2,4,5,1,3.8,3.6,1.95
Ein Frankfurt,RB Leipzig,D,76,59,39,26,88,74,20,11,1,0,1,2,5,3,0,1,3.8,4.0,1.85
Hertha,Dortmund,A,74,114,36,47,79,75,13,11,0,0,1,4,2,1,3,2,4.5,4.33,1.65
Freiburg,Mainz,A,122,63,43,19,73,73,9,11,0,0,2,1,3,1,2,4,2.05,3.6,3.4
FC Koln,Union Berlin,A,62,66,22,27,95,79,9,13,0,1,0,2,2,3,5,1,2.7,3.4,2.6
Wolfsburg,Werder Bremen,H,95,74,35,29,84,87,13,17,0,1,5,2,2,3,0,2,1.8,3.6,4.33
Augsburg,Freiburg,D,69,50,22,14,81,73,18,12,1,0,2,2,2,2,3,2,2.37,3.5,2.9
